ablation_id,condition,generation,source_generation,benchmark_stratum,prior_objective,retained_objective,prior_uar,retained_uar,retention_score,forgetting,objective_noninferior,safety_noninferior,catastrophic_interference,passed
A12,fresh,2,1,corruption_family_leave_out,0.6892151958145933,0.6892151958145933,0.00980392156862745,0.00980392156862745,1.0,0.0,True,True,0,True
A12,fresh,2,1,domain_leave_out,0.6944387216113838,0.6944387216113838,0.003952569169960474,0.003952569169960474,1.0,0.0,True,True,0,True
A12,fresh,2,1,generator_leave_out,0.6868667724672894,0.6868667724672894,0.008645533141210375,0.008645533141210375,1.0,0.0,True,True,0,True
A12,fresh,2,1,long_horizon_recurrence,0.6761842591527767,0.6761842591527767,0.004212299915754001,0.004212299915754001,1.0,0.0,True,True,0,True
A12,fresh,2,1,policy_semantic_transfer,0.7293816168821746,0.7293816168821746,0.0036529680365296802,0.0036529680365296802,1.0,0.0,True,True,0,True
A12,fresh,3,2,corruption_composition_leave_out,0.6331426118326119,0.6331426118326119,0.0019588638589618022,0.0019588638589618022,1.0,0.0,True,True,0,True
A12,fresh,3,2,corruption_family_leave_out,0.6699967038321578,0.6699967038321578,0.005982053838484547,0.005982053838484547,1.0,0.0,True,True,0,True
A12,fresh,3,2,domain_leave_out,0.6790695548537484,0.6790695548537484,0.0027272727272727275,0.0027272727272727275,1.0,0.0,True,True,0,True
A12,fresh,3,2,generator_leave_out,0.6463341041196834,0.6463341041196834,0.0056179775280898875,0.0056179775280898875,1.0,0.0,True,True,0,True
A12,fresh,3,2,long_horizon_recurrence,0.6955769021692162,0.6955769021692162,0.004280821917808219,0.004280821917808219,1.0,0.0,True,True,0,True
A12,fresh,3,2,policy_semantic_transfer,0.660607253793059,0.660607253793059,0.002640845070422535,0.002640845070422535,1.0,0.0,True,True,0,True
A13,cumulative,2,1,corruption_composition_leave_out,0.7188686358705527,0.7277001644039981,0.002952755905511811,0.010826771653543307,1.0122853162494012,0.0,True,True,0,True
A13,cumulative,2,1,corruption_family_leave_out,0.6892151958145933,0.7285805975036972,0.00980392156862745,0.007625272331154684,1.0571162706918806,0.0,True,True,1,False
A13,cumulative,2,1,domain_leave_out,0.6944387216113838,0.6784725034832426,0.003952569169960474,0.016798418972332016,0.9770084564249342,0.01596621812814114,True,False,0,False
A13,cumulative,2,1,generator_leave_out,0.6868667724672894,0.7050189313374576,0.008645533141210375,0.011527377521613832,1.026427481424038,0.0,True,True,0,True
A13,cumulative,2,1,long_horizon_recurrence,0.6761842591527767,0.6865229736483294,0.004212299915754001,0.010109519797809604,1.0152897887751877,0.0,True,True,0,True
A13,cumulative,2,1,policy_semantic_transfer,0.7293816168821746,0.7209240584605129,0.0036529680365296802,0.01643835616438356,0.9884044809659249,0.008457558421661737,True,False,2,False
A13,cumulative,3,2,corruption_composition_leave_out,0.6450670099807599,0.6450670099807599,0.005876591576885406,0.005876591576885406,1.0,0.0,True,True,0,True
A13,cumulative,3,2,corruption_family_leave_out,0.6650199474085049,0.6650199474085049,0.015952143569292122,0.015952143569292122,1.0,0.0,True,True,0,True
A13,cumulative,3,2,domain_leave_out,0.679158197343446,0.679158197343446,0.007272727272727273,0.007272727272727273,1.0,0.0,True,True,0,True
A13,cumulative,3,2,generator_leave_out,0.6636519157257657,0.6636519157257657,0.008988764044943821,0.008988764044943821,1.0,0.0,True,True,0,True
A13,cumulative,3,2,long_horizon_recurrence,0.70539643149438,0.70539643149438,0.012842465753424657,0.012842465753424657,1.0,0.0,True,True,0,True
A13,cumulative,3,2,policy_semantic_transfer,0.6623679302122218,0.6623679302122218,0.008802816901408451,0.008802816901408451,1.0,0.0,True,True,0,True
A13,fresh,2,1,corruption_composition_leave_out,0.7188686358705527,0.7188686358705527,0.002952755905511811,0.002952755905511811,1.0,0.0,True,True,0,True
A13,fresh,2,1,corruption_family_leave_out,0.6892151958145933,0.6892151958145933,0.00980392156862745,0.00980392156862745,1.0,0.0,True,True,0,True
A13,fresh,2,1,domain_leave_out,0.6944387216113838,0.6944387216113838,0.003952569169960474,0.003952569169960474,1.0,0.0,True,True,0,True
A13,fresh,2,1,generator_leave_out,0.6868667724672894,0.6868667724672894,0.008645533141210375,0.008645533141210375,1.0,0.0,True,True,0,True
A13,fresh,2,1,long_horizon_recurrence,0.6761842591527767,0.6761842591527767,0.004212299915754001,0.004212299915754001,1.0,0.0,True,True,0,True
A13,fresh,2,1,policy_semantic_transfer,0.7293816168821746,0.7293816168821746,0.0036529680365296802,0.0036529680365296802,1.0,0.0,True,True,0,True
A13,fresh,3,2,corruption_composition_leave_out,0.6331426118326119,0.6331426118326119,0.0019588638589618022,0.0019588638589618022,1.0,0.0,True,True,0,True
A13,fresh,3,2,corruption_family_leave_out,0.6699967038321578,0.6699967038321578,0.005982053838484547,0.005982053838484547,1.0,0.0,True,True,0,True
A13,fresh,3,2,domain_leave_out,0.6790695548537484,0.6790695548537484,0.0027272727272727275,0.0027272727272727275,1.0,0.0,True,True,0,True
A13,fresh,3,2,generator_leave_out,0.6463341041196834,0.6463341041196834,0.0056179775280898875,0.0056179775280898875,1.0,0.0,True,True,0,True
A13,fresh,3,2,long_horizon_recurrence,0.6955769021692162,0.6955769021692162,0.004280821917808219,0.004280821917808219,1.0,0.0,True,True,0,True
A13,fresh,3,2,policy_semantic_transfer,0.660607253793059,0.660607253793059,0.002640845070422535,0.002640845070422535,1.0,0.0,True,True,0,True
A14,cumulative,2,1,corruption_composition_leave_out,0.6088511987075158,0.6546285792579998,0.018700787401574805,0.017716535433070866,1.0751864834095117,0.0,True,True,0,True
A14,cumulative,2,1,corruption_family_leave_out,0.6260403571490487,0.6812257466063347,0.02178649237472767,0.010893246187363835,1.0881498913402277,0.0,True,True,0,True
A14,cumulative,2,1,domain_leave_out,0.5723856295201909,0.6125332999158468,0.0266798418972332,0.021739130434782608,1.0701409475100034,0.0,True,True,0,True
A14,cumulative,2,1,generator_leave_out,0.6027852180507458,0.6389040467478377,0.01921229586935639,0.01633045148895293,1.059919897859956,0.0,True,True,1,False
A14,cumulative,2,1,long_horizon_recurrence,0.5439108321641026,0.6006038789585854,0.02190395956192081,0.016849199663016005,1.104232244408359,0.0,True,True,0,True
A14,cumulative,2,1,policy_semantic_transfer,0.6119975191185967,0.6590334862215237,0.024657534246575342,0.021917808219178082,1.076856466952135,0.0,True,True,1,False
A14,cumulative,3,2,corruption_composition_leave_out,0.5503360739019434,0.5503360739019434,0.014691478942213516,0.014691478942213516,1.0,0.0,True,True,0,True
A14,cumulative,3,2,corruption_family_leave_out,0.6020553502876398,0.6020553502876398,0.020937188434695914,0.020937188434695914,1.0,0.0,True,True,0,True
A14,cumulative,3,2,domain_leave_out,0.5924871165241042,0.5924871165241042,0.013636363636363636,0.013636363636363636,1.0,0.0,True,True,0,True
A14,cumulative,3,2,generator_leave_out,0.6052116634568244,0.6052116634568244,0.015730337078651686,0.015730337078651686,1.0,0.0,True,True,0,True
A14,cumulative,3,2,long_horizon_recurrence,0.6381280810430885,0.6381280810430885,0.0136986301369863,0.0136986301369863,1.0,0.0,True,True,0,True
A14,cumulative,3,2,policy_semantic_transfer,0.5996820695737175,0.5996820695737175,0.008802816901408451,0.008802816901408451,1.0,0.0,True,True,0,True
A14,fresh,2,1,corruption_composition_leave_out,0.6088511987075158,0.6088511987075158,0.018700787401574805,0.018700787401574805,1.0,0.0,True,True,0,True
A14,fresh,2,1,corruption_family_leave_out,0.6260403571490487,0.6260403571490487,0.02178649237472767,0.02178649237472767,1.0,0.0,True,True,0,True
A14,fresh,2,1,domain_leave_out,0.5723856295201909,0.5723856295201909,0.0266798418972332,0.0266798418972332,1.0,0.0,True,True,0,True
A14,fresh,2,1,generator_leave_out,0.6027852180507458,0.6027852180507458,0.01921229586935639,0.01921229586935639,1.0,0.0,True,True,0,True
A14,fresh,2,1,long_horizon_recurrence,0.5439108321641026,0.5439108321641026,0.02190395956192081,0.02190395956192081,1.0,0.0,True,True,0,True
A14,fresh,2,1,policy_semantic_transfer,0.6119975191185967,0.6119975191185967,0.024657534246575342,0.024657534246575342,1.0,0.0,True,True,0,True
A14,fresh,3,2,corruption_composition_leave_out,0.5404437243191591,0.5404437243191591,0.012732615083251714,0.012732615083251714,1.0,0.0,True,True,0,True
A14,fresh,3,2,corruption_family_leave_out,0.5796155611653354,0.5796155611653354,0.02193419740777667,0.02193419740777667,1.0,0.0,True,True,0,True
A14,fresh,3,2,domain_leave_out,0.5588320299771381,0.5588320299771381,0.017272727272727273,0.017272727272727273,1.0,0.0,True,True,0,True
A14,fresh,3,2,generator_leave_out,0.5748584360861848,0.5748584360861848,0.015730337078651686,0.015730337078651686,1.0,0.0,True,True,0,True
A14,fresh,3,2,long_horizon_recurrence,0.5631516958436074,0.5631516958436074,0.023116438356164382,0.023116438356164382,1.0,0.0,True,True,0,True
A14,fresh,3,2,policy_semantic_transfer,0.5560633801675907,0.5560633801675907,0.014964788732394365,0.014964788732394365,1.0,0.0,True,True,0,True
A15,cumulative,2,1,corruption_composition_leave_out,0.7188686358705527,0.7277001644039981,0.002952755905511811,0.010826771653543307,1.0122853162494012,0.0,True,True,0,True
A15,cumulative,2,1,corruption_family_leave_out,0.6892151958145933,0.7285805975036972,0.00980392156862745,0.007625272331154684,1.0571162706918806,0.0,True,True,1,False
A15,cumulative,2,1,domain_leave_out,0.6944387216113838,0.6784725034832426,0.003952569169960474,0.016798418972332016,0.9770084564249342,0.01596621812814114,True,False,0,False
A15,cumulative,2,1,generator_leave_out,0.6868667724672894,0.7050189313374576,0.008645533141210375,0.011527377521613832,1.026427481424038,0.0,True,True,0,True
A15,cumulative,2,1,long_horizon_recurrence,0.6761842591527767,0.6865229736483294,0.004212299915754001,0.010109519797809604,1.0152897887751877,0.0,True,True,0,True
A15,cumulative,2,1,policy_semantic_transfer,0.7293816168821746,0.7209240584605129,0.0036529680365296802,0.01643835616438356,0.9884044809659249,0.008457558421661737,True,False,2,False
A15,cumulative,3,2,corruption_composition_leave_out,0.6450670099807599,0.6450670099807599,0.005876591576885406,0.005876591576885406,1.0,0.0,True,True,0,True
