ablation_id,generation,benchmark_stratum,reset_type,paired_worlds,transfer_gain,forward_transfer,cold_start_reduction,learning_acceleration_ttr,learning_acceleration_ttd,learning_acceleration_ttd_status,negative_transfer_rate,catastrophic_governance_interference,scope_leakage_delta,recurrence_error_delta,objective_delta_ci_low,objective_delta_ci_high
A1,2,domain_leave_out,adversarial,19,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.003157894736842105,0.0,0.0,0.0
A1,2,domain_leave_out,structural,11,0.06734318996415771,0.06734318996415778,0.012045454545454581,1.0,,undefined_no_harm_detected,0.0,0.0,0.02,-0.18181818181818182,0.033820142961876805,0.10785758797653962
A1,2,domain_leave_out,surface,20,0.1400054025320182,0.1400054025320181,0.05750000000000002,1.099099099099099,,undefined_world_aggregate_has_no_decision_timestamp,0.1,0.0,0.0,0.0,0.07875748218511044,0.20504466753711634
A1,2,generator_leave_out,adversarial,14,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.002857142857142857,0.0,0.0,0.0
A1,2,generator_leave_out,structural,22,0.07335803931281006,0.07335803931281015,0.03556818181818183,1.1908396946564885,,undefined_no_harm_detected,0.0,0.0,0.014545454545454545,-0.09090909090909091,0.04772408487990855,0.1006713924003719
A1,2,generator_leave_out,surface,14,0.07679263281792985,0.0767926328179298,0.061607142857142916,1.2535211267605633,,undefined_world_aggregate_has_no_decision_timestamp,0.21428571428571427,0.07142857142857142,0.0,0.14285714285714285,-0.009894606629794212,0.1585457482197005
A1,2,long_horizon_recurrence,adversarial,10,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.004,0.0,0.0,0.0
A1,2,long_horizon_recurrence,structural,18,0.12214610273426701,0.12214610273426696,0.032638888888888884,1.0,,undefined_no_harm_detected,0.0,0.0,0.011111111111111112,-0.2777777777777778,0.0765591659347094,0.17555790920476916
A1,2,long_horizon_recurrence,surface,22,0.14420125610777876,0.14420125610777879,0.10659090909090904,1.2459016393442621,,undefined_no_harm_detected,0.0,0.0,0.0,-0.09090909090909091,0.1073218431462406,0.19353341572818775
A1,2,policy_semantic_transfer,adversarial,22,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.002727272727272727,0.0,0.0,0.0
A1,2,policy_semantic_transfer,structural,11,0.05925005886369523,0.059250058863695165,0.0445454545454545,1.0158730158730158,,undefined_no_harm_detected,0.0,0.0,0.005454545454545454,0.0,0.0256404346495256,0.11401844788208423
A1,2,policy_semantic_transfer,surface,17,0.09794032719011092,0.0979403271901107,0.06602941176470592,1.0097087378640777,,undefined_world_aggregate_has_no_decision_timestamp,0.11764705882352941,0.0,0.0,-0.17647058823529413,0.05674471854558362,0.13623533418355002
A1,3,corruption_composition_leave_out,adversarial,25,0.0006400000000000006,0.0006399999999999739,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.005600000000000001,0.0,0.0,0.0025600000000000024
A1,3,corruption_composition_leave_out,structural,19,0.07163752760234583,0.07163752760234587,0.03473684210526315,1.0366972477064222,,undefined_world_aggregate_has_no_decision_timestamp,0.05263157894736842,0.0,0.007368421052631579,-0.10526315789473684,0.04091479314699121,0.10456491938769709
A1,3,corruption_composition_leave_out,surface,6,0.09706019455690505,0.09706019455690518,0.07666666666666666,1.0,,undefined_world_aggregate_has_no_decision_timestamp,0.16666666666666666,0.0,0.0,0.0,0.05027619770580291,0.1553258771929824
A1,3,corruption_family_leave_out,adversarial,24,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.004166666666666667,0.0,0.0,0.0
A1,3,corruption_family_leave_out,structural,18,0.0477298630106979,0.047729863010697815,0.03819444444444442,1.1717171717171717,,undefined_world_aggregate_has_no_decision_timestamp,0.1111111111111111,0.05555555555555555,0.005555555555555556,0.0,0.010912383994001625,0.08805423067076291
A1,3,corruption_family_leave_out,surface,8,0.0982119565217391,0.0982119565217392,0.04906250000000004,1.0,,undefined_world_aggregate_has_no_decision_timestamp,0.25,0.0,0.0,0.0,0.02499384057971011,0.19435851449275363
A1,3,domain_leave_out,adversarial,28,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.005714285714285714,0.0,0.0,0.0
A1,3,domain_leave_out,structural,15,0.04961247255160299,0.04961247255160295,0.032833333333333214,1.1046511627906976,,undefined_no_harm_detected,0.0,0.0,0.016,-0.06666666666666667,0.02884875000000003,0.07363262187088275
A1,3,domain_leave_out,surface,7,0.09553879506347991,0.09553879506347995,0.060714285714285776,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,-0.2857142857142857,0.0553117018398268,0.13020690276110441
A1,3,generator_leave_out,adversarial,24,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.004166666666666667,0.0,0.0,0.0
A1,3,generator_leave_out,structural,16,0.061973529016365624,0.06197352901636566,0.031093750000000003,1.0217391304347827,,undefined_no_harm_detected,0.0,0.0,0.01375,-0.0625,0.04283580685147627,0.08976690018580168
A1,3,generator_leave_out,surface,10,0.18843934086905179,0.18843934086905179,0.051750000000000046,1.1071428571428572,,undefined_no_harm_detected,0.0,0.0,0.0,-0.2,0.11276622939726316,0.26535311961658115
A1,3,long_horizon_recurrence,adversarial,23,0.0006956521739130441,0.0006956521739129862,0.0014130434782608225,1.0,,undefined_no_harm_detected,0.0,0.0,0.003478260869565217,0.0,0.0,0.0020869565217391324
A1,3,long_horizon_recurrence,structural,18,0.0649933469714171,0.06499334697141712,0.04777777777777775,1.010204081632653,,undefined_world_aggregate_has_no_decision_timestamp,0.05555555555555555,0.0,0.011111111111111112,-0.16666666666666666,0.04656988495990687,0.08723575641382655
A1,3,long_horizon_recurrence,surface,9,0.11500889392065863,0.1150088939206586,0.08611111111111114,1.14,,undefined_no_harm_detected,0.0,0.0,0.0,-0.1111111111111111,0.04099947390572387,0.18689540827592296
A1,3,policy_semantic_transfer,adversarial,26,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0
A1,3,policy_semantic_transfer,structural,14,0.05065461578871026,0.05065461578871022,0.0325,1.0135135135135134,,undefined_world_aggregate_has_no_decision_timestamp,0.07142857142857142,0.0,0.011428571428571429,0.0,0.012214527964295785,0.08150405520064967
A1,3,policy_semantic_transfer,surface,10,0.07876494620947531,0.07876494620947516,0.046749999999999986,1.0535714285714286,,undefined_world_aggregate_has_no_decision_timestamp,0.4,0.0,0.0,-0.2,-0.028415311108048683,0.1798171929485329
A10,1,corruption_composition_leave_out,adversarial,8,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,corruption_composition_leave_out,structural,13,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,corruption_composition_leave_out,surface,29,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,corruption_family_leave_out,adversarial,7,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,corruption_family_leave_out,structural,19,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,corruption_family_leave_out,surface,24,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,domain_leave_out,adversarial,11,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,domain_leave_out,structural,15,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,domain_leave_out,surface,24,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,generator_leave_out,adversarial,10,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,generator_leave_out,structural,15,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,generator_leave_out,surface,25,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,long_horizon_recurrence,adversarial,11,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,long_horizon_recurrence,structural,20,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,long_horizon_recurrence,surface,19,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,policy_semantic_transfer,adversarial,3,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,policy_semantic_transfer,structural,18,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,1,policy_semantic_transfer,surface,29,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A10,2,corruption_composition_leave_out,adversarial,22,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0018181818181818182,0.0,0.0,0.0
A10,2,corruption_composition_leave_out,structural,20,0.017443406593406575,0.017443406593406485,0.010125000000000078,0.9918032786885246,,undefined_world_aggregate_has_no_decision_timestamp,0.2,0.05,0.01,0.0,-0.020772678571428563,0.056464162087912086
A10,2,corruption_composition_leave_out,surface,8,0.05227471891534388,0.052274718915343854,0.0365625,1.0,,undefined_world_aggregate_has_no_decision_timestamp,0.25,0.0,0.0,0.0,-0.030461607142857162,0.14412470858134915
