result_type,identifier,value
nonpositive_forward_transfer,A16-g2-corruption_family_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g2-corruption_family_leave_out-structural,-0.024220805868180983
nonpositive_forward_transfer,A16-g2-domain_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g2-domain_leave_out-structural,-0.02223097617725056
nonpositive_forward_transfer,A16-g2-generator_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g2-generator_leave_out-structural,-0.026489571535456058
nonpositive_forward_transfer,A16-g2-long_horizon_recurrence-adversarial,0.0
nonpositive_forward_transfer,A16-g2-policy_semantic_transfer-adversarial,0.0
nonpositive_forward_transfer,A16-g2-policy_semantic_transfer-structural,-0.014140974848025123
nonpositive_forward_transfer,A16-g3-corruption_composition_leave_out-structural,-0.0168860187983797
nonpositive_forward_transfer,A16-g3-corruption_composition_leave_out-surface,-0.0024995143745143444
nonpositive_forward_transfer,A16-g3-corruption_family_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g3-corruption_family_leave_out-structural,-0.045233887443078546
nonpositive_forward_transfer,A16-g3-domain_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g3-domain_leave_out-structural,-0.001974922042669358
nonpositive_forward_transfer,A16-g3-generator_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g3-long_horizon_recurrence-adversarial,-0.008985507246377034
nonpositive_forward_transfer,A16-g3-policy_semantic_transfer-adversarial,0.0
nonpositive_forward_transfer,A16-g3-policy_semantic_transfer-structural,-0.00652063317621987
nonpositive_forward_transfer,A17-g1-corruption_composition_leave_out-adversarial,0.0
nonpositive_forward_transfer,A17-g1-corruption_composition_leave_out-structural,0.0
nonpositive_forward_transfer,A17-g1-corruption_composition_leave_out-surface,0.0
nonpositive_forward_transfer,A17-g1-corruption_family_leave_out-adversarial,0.0
nonpositive_forward_transfer,A17-g1-corruption_family_leave_out-structural,0.0
nonpositive_forward_transfer,A17-g1-corruption_family_leave_out-surface,0.0
nonpositive_forward_transfer,A17-g1-domain_leave_out-adversarial,0.0
nonpositive_forward_transfer,A17-g1-domain_leave_out-structural,0.0
nonpositive_forward_transfer,A17-g1-domain_leave_out-surface,0.0
nonpositive_forward_transfer,A17-g1-generator_leave_out-adversarial,0.0
nonpositive_forward_transfer,A17-g1-generator_leave_out-structural,0.0
nonpositive_forward_transfer,A17-g1-generator_leave_out-surface,0.0
nonpositive_forward_transfer,A17-g1-long_horizon_recurrence-adversarial,0.0
nonpositive_forward_transfer,A17-g1-long_horizon_recurrence-structural,0.0
nonpositive_forward_transfer,A17-g1-long_horizon_recurrence-surface,0.0
nonpositive_forward_transfer,A17-g1-policy_semantic_transfer-adversarial,0.0
nonpositive_forward_transfer,A17-g1-policy_semantic_transfer-structural,0.0
nonpositive_forward_transfer,A17-g1-policy_semantic_transfer-surface,0.0
nonpositive_forward_transfer,A17-g2-corruption_composition_leave_out-adversarial,0.0
nonpositive_forward_transfer,A17-g2-corruption_family_leave_out-surface,-0.03251193210902814
nonpositive_forward_transfer,A17-g2-domain_leave_out-structural,-0.007062114356231997
nonpositive_forward_transfer,A17-g2-long_horizon_recurrence-adversarial,0.0
nonpositive_forward_transfer,A17-g2-policy_semantic_transfer-adversarial,0.0
nonpositive_forward_transfer,A17-g2-policy_semantic_transfer-surface,-0.011762716414226548
nonpositive_forward_transfer,A17-g3-corruption_composition_leave_out-adversarial,0.0
nonpositive_forward_transfer,A17-g3-corruption_composition_leave_out-surface,-0.04657941595441595
nonpositive_forward_transfer,A17-g3-corruption_family_leave_out-adversarial,0.0
nonpositive_forward_transfer,A17-g3-domain_leave_out-adversarial,0.0
nonpositive_forward_transfer,A17-g3-generator_leave_out-adversarial,0.0
nonpositive_forward_transfer,A17-g3-policy_semantic_transfer-adversarial,0.0
nonpositive_forward_transfer,A18-g1-corruption_composition_leave_out-adversarial,0.0
nonpositive_forward_transfer,A18-g1-corruption_composition_leave_out-structural,0.0
nonpositive_forward_transfer,A18-g1-corruption_composition_leave_out-surface,0.0
nonpositive_forward_transfer,A18-g1-corruption_family_leave_out-adversarial,0.0
nonpositive_forward_transfer,A18-g1-corruption_family_leave_out-structural,0.0
nonpositive_forward_transfer,A18-g1-corruption_family_leave_out-surface,0.0
nonpositive_forward_transfer,A18-g1-domain_leave_out-adversarial,0.0
nonpositive_forward_transfer,A18-g1-domain_leave_out-structural,0.0
