ablation_id,exact_condition,condition,generation,competitive,oracle,config_hash,worlds,decisions,uar,uar_exact_ci_low,uar_exact_ci_high,frr,escalation_rate,mean_reward,objective,objective_ci_low,objective_ci_high,objective_cvar10,objective_worst_world,catastrophic_interference,irreversible_interference,scope_leakage_rate,diagnostic_reuse_rate,novel_diagnostic_yield,promotion_rate,update_stability,mean_time_to_recovery,early_loss,late_loss,recurrence_errors,adversarial_failures,retained_bytes,trace_complete
A13,No shadow phase: promote immediately after offline certification.,cumulative,1,True,False,6dfa0d37f34ca0cd17dd292cd564b9d8309c7bcb0d7a58a42777720ca2b45c85,300,15000,0.005423512521933323,0.0037587775989492813,0.007570643140322672,0.0059557897148093,0.31726666666666664,0.7821433333333334,0.6991592002997951,0.6842071518879674,0.7126340761996944,0.4558828554527699,0.17237878787878785,0,1,0.0288,,0.06798096532970768,0.006666666666666667,0.9854550505138191,5.946666666666666,0.21821666666666667,0.21411666666666668,18,4,573440,True
A13,No shadow phase: promote immediately after offline certification.,cumulative,2,True,False,6dfa0d37f34ca0cd17dd292cd564b9d8309c7bcb0d7a58a42777720ca2b45c85,300,15000,0.009971509971509971,0.007670649622659877,0.0127400924341242,0.009329647546648237,0.32666666666666666,0.7659666666666667,0.6701102386941797,0.6579893093978417,0.6838791917059902,0.4223490622544563,0.20833333333333343,7,1,0.055466666666666664,0.6345798865112463,0.03761869978086194,0.006866666666666667,0.9868527991994915,6.89,0.23908333333333337,0.23544999999999996,32,2,1064960,True
A13,No shadow phase: promote immediately after offline certification.,cumulative,3,True,False,6dfa0d37f34ca0cd17dd292cd564b9d8309c7bcb0d7a58a42777720ca2b45c85,300,15000,0.0051468362095065095,0.003566888836689772,0.007184828450296126,0.00881582082439838,0.3788,0.7382133333333334,0.6459102120028652,0.632002558922788,0.6581142811347716,0.4399869792382392,0.33892515592515576,2,3,0.0892,0.47289719626168225,0.03141614306428226,0.008666666666666666,0.9850482256719961,6.926666666666667,0.25945,0.26535000000000003,22,10,1556480,True
A13,No shadow phase: promote immediately after offline certification.,fresh,1,True,False,6dfa0d37f34ca0cd17dd292cd564b9d8309c7bcb0d7a58a42777720ca2b45c85,300,15000,0.005423512521933323,0.0037587775989492813,0.007570643140322672,0.0059557897148093,0.31726666666666664,0.7821433333333334,0.6991592002997951,0.6870571249935761,0.7108630491282321,0.4558828554527699,0.17237878787878785,0,1,0.0288,,0.06798096532970768,0.006666666666666667,0.9854550505138191,5.946666666666666,0.21821666666666667,0.21411666666666668,18,4,573440,True
A13,No shadow phase: promote immediately after offline certification.,fresh,2,True,False,6dfa0d37f34ca0cd17dd292cd564b9d8309c7bcb0d7a58a42777720ca2b45c85,300,15000,0.003798670465337132,0.002435350145157618,0.005646881122029988,0.0055286800276434,0.3674,0.7499233333333334,0.6641211884334128,0.6510267287329795,0.6774020393991461,0.4427311075455787,0.2843333333333334,5,0,0.05106666666666667,,0.03761869978086194,0.006866666666666667,0.9868527991994915,6.923333333333333,0.25425833333333336,0.24798333333333336,15,2,573440,True
A13,No shadow phase: promote immediately after offline certification.,fresh,3,True,False,6dfa0d37f34ca0cd17dd292cd564b9d8309c7bcb0d7a58a42777720ca2b45c85,300,15000,0.003178928247048138,0.0019688506088867503,0.004855245931595309,0.006433166547533953,0.40573333333333333,0.7252733333333334,0.6352982193015072,0.6231862739147007,0.64630092516318,0.44298586340627605,0.33954054054054056,2,2,0.0848,,0.03141614306428226,0.008666666666666666,0.9850482256719961,6.956666666666667,0.2715083333333334,0.2819,18,10,573440,True
A14,No safety kernel: permit optimizer safety/recall tradeoffs.,cumulative,1,True,False,64121978f3667b245af0809ef8bcecaa6f2dcd5c681766565f58c71cc1aa0f80,300,15000,0.02217259531025682,0.018671563396072025,0.026127380891936225,0.0,0.38726666666666665,0.7257433333333334,0.5943284591183667,0.579571837828911,0.6101838991266609,0.31728119737176047,0.14245454545454556,11,3,0.0288,,0.06798096532970768,0.0005333333333333334,0.9967778544070415,7.3133333333333335,0.2762833333333334,0.27040000000000003,28,0,573440,True
A14,No safety kernel: permit optimizer safety/recall tradeoffs.,cumulative,2,True,False,64121978f3667b245af0809ef8bcecaa6f2dcd5c681766565f58c71cc1aa0f80,300,15000,0.01440329218106996,0.011612059497737456,0.017654972642970168,0.0017277125086385626,0.4108,0.7148466666666667,0.597983392464553,0.5801293938572252,0.6143498660047432,0.34047125946324724,0.1768333333333334,11,2,0.055466666666666664,0.6345798865112463,0.03761869978086194,0.0007333333333333333,0.9962411585709305,8.38255033557047,0.28632500000000005,0.29675,26,0,1064960,True
A14,No safety kernel: permit optimizer safety/recall tradeoffs.,cumulative,3,True,False,64121978f3667b245af0809ef8bcecaa6f2dcd5c681766565f58c71cc1aa0f80,300,15000,0.007417499243112322,0.005492399162724364,0.009794603026385906,0.0011913271384322134,0.48313333333333336,0.6764300000000001,0.5642977934273654,0.5490209735650027,0.5778803965068153,0.37021871827502245,0.27921052631578946,3,4,0.0892,0.47289719626168225,0.03141614306428226,0.0007333333333333333,0.9959017618961857,8.926174496644295,0.31665000000000004,0.3308166666666667,11,0,1556480,True
A14,No safety kernel: permit optimizer safety/recall tradeoffs.,fresh,1,True,False,64121978f3667b245af0809ef8bcecaa6f2dcd5c681766565f58c71cc1aa0f80,300,15000,0.02217259531025682,0.018671563396072025,0.026127380891936225,0.0,0.38726666666666665,0.7257433333333334,0.5943284591183667,0.580829963280804,0.6110450642956443,0.31728119737176047,0.14245454545454556,11,3,0.0288,,0.06798096532970768,0.0005333333333333334,0.9967778544070415,7.3133333333333335,0.2762833333333334,0.27040000000000003,28,0,573440,True
A14,No safety kernel: permit optimizer safety/recall tradeoffs.,fresh,2,True,False,64121978f3667b245af0809ef8bcecaa6f2dcd5c681766565f58c71cc1aa0f80,300,15000,0.017727128838239948,0.014618277472640148,0.021291793218285116,0.0001151808339092375,0.4472,0.68892,0.5621608045931692,0.5461644999353886,0.5758620913966643,0.3249800015501641,0.11638461538461532,14,4,0.05106666666666667,,0.03761869978086194,0.0007333333333333333,0.9962411585709305,8.54026845637584,0.3148916666666668,0.3183166666666667,24,0,573440,True
A14,No safety kernel: permit optimizer safety/recall tradeoffs.,fresh,3,True,False,64121978f3667b245af0809ef8bcecaa6f2dcd5c681766565f58c71cc1aa0f80,300,15000,0.011807447774750226,0.009344178654998234,0.014714608895885883,0.0,0.5094,0.6556566666666667,0.5310483692433645,0.518462742115761,0.5461752859573134,0.33146879275095203,-0.10923529411764717,6,5,0.0848,,0.03141614306428226,0.0007333333333333333,0.9959017618961857,9.208053691275168,0.3391083333333334,0.35253333333333337,18,0,573440,True
A15,No rollback: measure persistence of damaging updates.,cumulative,1,True,False,93787af33127d242250cd820b9d8880f55ea9852341e0006dff0ce2d18832d38,300,15000,0.005423512521933323,0.0037587775989492813,0.007570643140322672,0.0059557897148093,0.31726666666666664,0.7821433333333334,0.6991592002997951,0.685087261280849,0.7136976246746028,0.4558828554527699,0.17237878787878785,0,1,0.0288,,0.06798096532970768,0.0005333333333333334,0.9967778544070415,5.946666666666666,0.21821666666666667,0.21411666666666668,18,4,573440,True
A15,No rollback: measure persistence of damaging updates.,cumulative,2,True,False,93787af33127d242250cd820b9d8880f55ea9852341e0006dff0ce2d18832d38,300,15000,0.009971509971509971,0.007670649622659877,0.0127400924341242,0.009329647546648237,0.32666666666666666,0.7659666666666667,0.6701102386941797,0.6564998851075565,0.6831653119941009,0.4223490622544563,0.20833333333333343,7,1,0.055466666666666664,0.6345798865112463,0.03761869978086194,0.0007333333333333333,0.9962411585709305,6.89,0.23908333333333337,0.23544999999999996,32,2,1064960,True
A15,No rollback: measure persistence of damaging updates.,cumulative,3,True,False,93787af33127d242250cd820b9d8880f55ea9852341e0006dff0ce2d18832d38,300,15000,0.0051468362095065095,0.003566888836689772,0.007184828450296126,0.00881582082439838,0.3788,0.7382133333333334,0.6459102120028652,0.6342064738701569,0.6605954243516797,0.4399869792382392,0.33892515592515576,2,3,0.0892,0.47289719626168225,0.03141614306428226,0.0007333333333333333,0.9959017618961857,6.926666666666667,0.25945,0.26535000000000003,22,10,1556480,True
A15,No rollback: measure persistence of damaging updates.,fresh,1,True,False,93787af33127d242250cd820b9d8880f55ea9852341e0006dff0ce2d18832d38,300,15000,0.005423512521933323,0.0037587775989492813,0.007570643140322672,0.0059557897148093,0.31726666666666664,0.7821433333333334,0.6991592002997951,0.6854649693347983,0.710581317788072,0.4558828554527699,0.17237878787878785,0,1,0.0288,,0.06798096532970768,0.0005333333333333334,0.9967778544070415,5.946666666666666,0.21821666666666667,0.21411666666666668,18,4,573440,True
A15,No rollback: measure persistence of damaging updates.,fresh,2,True,False,93787af33127d242250cd820b9d8880f55ea9852341e0006dff0ce2d18832d38,300,15000,0.003798670465337132,0.002435350145157618,0.005646881122029988,0.0055286800276434,0.3674,0.7499233333333334,0.6641211884334128,0.6483456350936988,0.6781317623630166,0.4427311075455787,0.2843333333333334,5,0,0.05106666666666667,,0.03761869978086194,0.0007333333333333333,0.9962411585709305,6.923333333333333,0.25425833333333336,0.24798333333333336,15,2,573440,True
A15,No rollback: measure persistence of damaging updates.,fresh,3,True,False,93787af33127d242250cd820b9d8880f55ea9852341e0006dff0ce2d18832d38,300,15000,0.003178928247048138,0.0019688506088867503,0.004855245931595309,0.006433166547533953,0.40573333333333333,0.7252733333333334,0.6352982193015072,0.6250629211603346,0.646477885989145,0.44298586340627605,0.33954054054054056,2,2,0.0848,,0.03141614306428226,0.0007333333333333333,0.9959017618961857,6.956666666666667,0.2715083333333334,0.2819,18,10,573440,True
